CustomerID,Recency,Frequency,Monetary,Cluster
12347.0,2,7,1146.59,0
12348.0,75,4,550.92,0
12349.0,18,1,406.32,0
12350.0,310,1,45.6,1
12352.0,36,6,663.33,0
12353.0,204,1,11.6,1
12354.0,232,1,181.57999999999998,1
12355.0,214,1,68.7,1
12356.0,245,2,285.0,1
12357.0,33,1,1174.51,0
12358.0,1,2,403.92,0
12359.0,57,4,869.63,0
12360.0,52,3,576.18,0
12361.0,287,1,16.5,1
12362.0,3,10,1053.38,0
12363.0,109,2,162.6,0
12364.0,7,3,195.6,0
12365.0,291,1,71.99000000000001,1
12367.0,4,1,33.599999999999994,0
12370.0,51,4,694.79,0
12371.0,59,1,245.7,0
12372.0,71,3,380.48,0
12373.0,311,1,104.5,1
12374.0,25,1,189.15,0
12375.0,10,2,131.70000000000002,0
12377.0,315,2,328.32,1
12378.0,129,1,858.4399999999999,0
12379.0,81,2,198.49999999999997,0
12380.0,21,4,235.75,0
12381.0,58,2,170.39,0
12383.0,184,5,400.9,1
12384.0,28,2,77.55000000000001,0
12386.0,366,1,30.0,1
12388.0,15,6,595.5,0
12390.0,79,1,70.5,0
12391.0,21,1,99.69,0
12393.0,72,3,381.25,0
12394.0,217,1,56.3,1
12395.0,19,10,844.27,0
12397.0,35,2,448.78,0
12398.0,45,1,335.4,0
12399.0,119,3,140.34,0
12401.0,303,1,17.85,1
12403.0,49,1,285.0,0
12405.0,148,1,472.03000000000003,1
12406.0,22,2,515.49,0
12407.0,49,5,205.5,0
12408.0,32,4,581.73,0
12409.0,78,2,2237.64,0
12410.0,308,2,155.1,1
12412.0,74,3,302.21000000000004,0
12413.0,66,3,221.8,0
12414.0,217,3,195.35,1
12415.0,24,13,22262.989999999998,2
12417.0,3,9,863.94,0
12418.0,112,1,84.48,0
12420.0,63,1,180.04,0
12421.0,15,4,280.95,0
12422.0,95,3,144.75,0
12423.0,0,7,364.11,0
12424.0,162,2,321.45000000000005,1
12425.0,78,1,96.36,0
12426.0,194,1,78.78,1
12427.0,21,3,165.6,0
12428.0,25,7,1939.74,0
12429.0,9,4,553.1,0
12430.0,43,1,64.80000000000001,0
12431.0,60,13,1133.43,0
12432.0,42,4,892.24,0
12433.0,0,6,2679.64,0
12434.0,84,2,91.49,0
12435.0,79,2,724.4,0
12436.0,99,1,52.800000000000004,0
12437.0,1,17,818.17,0
12438.0,14,2,706.57,0
12441.0,366,1,28.200000000000003,1
12442.0,3,1,84.72,0
12444.0,21,5,1006.89,0
12445.0,22,1,56.0,0
12446.0,57,1,230.85,0
12447.0,243,1,45.6,1
12448.0,44,1,28.93,0
12449.0,22,4,535.6,0
12450.0,173,1,20.159999999999997,1
12451.0,10,5,1636.51,0
12452.0,16,1,69.55000000000001,0
12453.0,134,1,219.45,0
12454.0,56,1,350.4,0
12455.0,73,6,592.9,0
12456.0,44,3,509.41,0
12457.0,86,2,245.79,0
12458.0,71,2,161.46,0
12461.0,154,1,52.89,1
12462.0,18,2,134.57,0
12463.0,53,4,305.54,0
12464.0,10,4,226.9,0
12465.0,17,2,131.1,0
12468.0,187,2,162.3,1
12471.0,2,21,3813.16,0
12472.0,32,7,1397.99,0
12473.0,53,3,684.76,0
12474.0,17,15,1377.26,0
12475.0,53,1,120.4,0
12476.0,15,10,1253.83,0
12477.0,22,6,3413.01,0
12478.0,3,1,130.88,0
12479.0,11,1,110.54,0
12480.0,28,4,594.02,0
12481.0,22,10,1058.67,0
12483.0,17,7,597.95,0
12484.0,35,4,902.7,0
12488.0,9,3,210.78,0
12489.0,336,1,15.9,1
12490.0,5,10,1254.54,0
12491.0,38,1,74.5,0
12492.0,63,2,79.24000000000001,0
12493.0,165,2,88.3,1
12494.0,15,6,140.39000000000001,0
12497.0,81,1,292.5,0
12498.0,21,2,68.85,0
12500.0,23,8,763.2299999999999,0
12501.0,336,1,541.96,1
12502.0,95,5,791.55,0
12504.0,18,1,12.75,0
12506.0,232,1,28.35,1
12507.0,134,1,225.28,0
12508.0,26,2,62.269999999999996,0
12509.0,284,1,67.5,1
12510.0,142,2,315.79999999999995,1
12512.0,66,1,21.6,0
12513.0,112,1,133.5,0
12514.0,267,1,265.28,1
12515.0,353,1,76.05,1
12516.0,77,2,424.18,0
12517.0,28,5,595.24,0
12518.0,0,5,370.76,0
12519.0,63,1,45.5,0
12520.0,79,5,673.33,0
12521.0,142,1,135.3,1
12522.0,51,1,17.700000000000003,0
12523.0,19,8,284.16,0
12524.0,63,7,1141.65,0
12526.0,0,3,168.45000000000002,0
12527.0,81,3,83.34,0
12528.0,63,5,269.65000000000003,0
12530.0,59,4,360.09,0
12531.0,14,1,31.4,0
12532.0,30,1,110.88,0
12534.0,130,1,274.5,0
12535.0,91,2,111.75,0
12536.0,59,1,730.29,0
12538.0,29,1,55.650000000000006,0
12539.0,22,4,1027.6299999999999,0
12540.0,19,17,2712.07,0
12541.0,29,3,299.57,0
12544.0,36,1,53.42,0
12545.0,75,2,204.25,0
12546.0,46,2,142.8,0
12547.0,197,2,48.4,1
12548.0,166,1,17.4,1
12550.0,79,1,217.68,0
12551.0,357,1,12.5,1
12552.0,39,1,71.47,0
12553.0,8,9,675.69,0
12556.0,50,2,110.41,0
12557.0,158,2,1446.68,1
12558.0,7,1,5.04,0
12559.0,319,1,81.1,1
12560.0,5,2,299.54,0
12561.0,302,1,64.65,1
12562.0,8,7,870.9300000000001,0
12564.0,261,1,39.6,1
12565.0,288,1,30.779999999999998,1
12567.0,22,10,1827.3,0
12569.0,2,21,813.05,0
12571.0,39,2,82.7,0
12572.0,8,2,151.5,0
12573.0,227,1,40.7,1
12574.0,315,1,15.0,1
12576.0,35,5,218.26,0
12577.0,35,3,137.92,0
12578.0,21,2,423.23,0
12579.0,78,1,125.65,0
12580.0,246,1,89.8,1
12581.0,39,1,9.959999999999999,0
12582.0,238,2,111.06,1
12583.0,2,15,1561.82,0
12584.0,3,7,424.0,0
12585.0,234,2,285.36,1
12586.0,17,1,48.050000000000004,0
12587.0,7,1,20.8,0
12588.0,39,1,17.0,0
12589.0,28,2,153.42,0
12590.0,211,1,1816.6,1
12591.0,317,1,188.0,1
12592.0,213,1,66.0,1
12593.0,129,2,122.39999999999999,0
12594.0,46,7,963.19,0
12596.0,51,1,52.74,0
12597.0,19,4,674.61,0
12598.0,9,7,680.5,0
12599.0,29,3,179.88,0
12600.0,84,6,300.44,0
12601.0,189,4,78.15,1
12603.0,21,1,126.0,0
